ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,ARO Category,drug_class_list,ARO Accession_encoded,Model Name_encoded,ARO Name_encoded,CARD Short Name_encoded,AMR Gene Family_encoded,Drug Class_encoded,Resistance Mechanism_encoded,ARO Category_encoded,drug_class_list_encoded
ARO:3002533,38933,4266,478,AAC(3)-IIa,AAC(3)-IIa,CAA31895.1,X13543.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIa,,aminoglycoside antibiotic,1627,11,11,10,16,13,5,-1,1
ARO:3002534,38934,10,925,AAC(3)-IIb,AAC(3)-IIb,AAA26548.1,M97172.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIb,,aminoglycoside antibiotic,1628,12,12,11,16,13,5,-1,1
ARO:3002535,38935,616,1378,AAC(3)-IIc,AAC(3)-IIc,CAA38525.1,X54723.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIc,,aminoglycoside antibiotic,1629,13,13,12,16,13,5,-1,1
ARO:3004623,42605,5344,3322,AAC(3)-IId,AAC(3)-IId,ABS70977.1,EU022314.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IId,,aminoglycoside antibiotic,2836,14,14,13,16,13,5,-1,1
ARO:3004621,42600,5340,3321,AAC(3)-IIe,AAC(3)-IIe,ABS70978.1,EU022315.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIe,,aminoglycoside antibiotic,2834,15,15,14,16,13,5,-1,1
ARO:3005085,43296,6120,3820,AAC(3)-IIg,AAC(3)-IIg,QKT21444.1,MT090547.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIg,,aminoglycoside antibiotic,3115,16,16,15,16,13,5,-1,1
ARO:3002536,38936,6,1879,AAC(3)-IIIa,AAC(3)-IIIa,CAA39184.1,X55652.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIa,,aminoglycoside antibiotic,1630,8,8,7,16,13,5,-1,1
ARO:3002537,38937,5232,410,AAC(3)-IIIb,AAC(3)-IIIb,KSC15183.1,LLLC01000048.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIb,,aminoglycoside antibiotic,1631,9,9,8,16,13,5,-1,1
ARO:3002538,38938,9,51,AAC(3)-IIIc,AAC(3)-IIIc,AAA25683.1,L06161.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIc,,aminoglycoside antibiotic,1632,10,10,9,16,13,5,-1,1
ARO:3002539,38939,3715,639,AAC(3)-IVa,AAC(3)-IVa,ABB43029.1,DQ241380.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVa,,aminoglycoside antibiotic,1633,17,17,16,16,13,5,-1,1
ARO:3005061,43265,6130,3801,AAC(3)-IVb,AAC(3)-IVb,QEQ43476.1,MN366378.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVb,,aminoglycoside antibiotic,3096,18,18,17,16,13,5,-1,1
ARO:3002543,38943,655,2030,AAC(3)-IXa,AAC(3)-IXa,AAA25334.1,M55427.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IXa,,aminoglycoside antibiotic,1637,19,19,18,16,13,5,-1,1
ARO:3002540,38940,659,1105,AAC(3)-VIa,AAC(3)-VIa,AAA16194.1,M88012.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIa,,aminoglycoside antibiotic,1634,27,27,25,16,13,5,-1,1
ARO:3002541,38941,694,653,AAC(3)-VIIa,AAC(3)-VIIa,AAA88552.1,M22999.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIa,,aminoglycoside antibiotic,1635,26,26,24,16,13,5,-1,1
ARO:3002542,38942,12,501,AAC(3)-VIIIa,AAC(3)-VIIIa,AAA26685.1,M55426.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIIa,,aminoglycoside antibiotic,1636,25,25,23,16,13,5,-1,1
ARO:3002544,38944,4702,1483,AAC(3)-Xa,AAC(3)-Xa,BAA78619.1,AB028210.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Xa,,aminoglycoside antibiotic,1638,28,28,26,16,13,5,-1,1
ARO:3002583,38983,5868,300,AAC(6')-29a,AAC(6')-29a,WP_064190968.1,NG_048575.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29a,,aminoglycoside antibiotic,1673,29,29,27,17,13,5,-1,1
ARO:3002584,38984,5898,659,AAC(6')-29b,AAC(6')-29b,WP_064190969.1,NG_048576.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29b,,aminoglycoside antibiotic,1674,30,30,28,17,13,5,-1,1
ARO:3002599,38999,8193,922,AAC(6')-30/AAC(6')-Ib' bifunctional protein,AAC(6')-30/AAC(6')-Ib' bifunctional protein,CAE48335.2,AJ584652.2,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_30_AAC6_Ib,,aminoglycoside antibiotic,1689,31,31,90,353,13,5,-1,1
ARO:3002585,38985,267,1093,AAC(6')-31,AAC(6')-31,CAK55557.1,AM283489.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-31,,aminoglycoside antibiotic,1675,32,32,29,17,13,5,-1,1
ARO:3002586,38986,310,1577,AAC(6')-32,AAC(6')-32,ABR10839.1,EF614235.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-32,,aminoglycoside antibiotic,1676,33,33,30,17,13,5,-1,1
ARO:3003989,40871,3861,2525,AAC(6')-34,AAC(6')-34,APB03223.1,KX531053.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-34,,aminoglycoside antibiotic,2591,34,34,31,17,13,5,-1,1
ARO:3002588,38988,399,1365,AAC(6')-I30,AAC(6')-I30,AAP43642.1,AY289608.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I30,,aminoglycoside antibiotic,1678,37,37,34,17,13,5,-1,1
ARO:3002587,38987,362,924,AAC(6')-I33,AAC(6')-I33,AEZ05106.1,JN596280.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I33,,aminoglycoside antibiotic,1677,38,38,35,17,13,5,-1,1
ARO:3004641,42650,5464,3340,AAC(6')-I-43,AAC(6')-I-43,AEA07977.1,HQ247816.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-43,,aminoglycoside antibiotic,2854,35,35,32,17,13,5,-1,1
ARO:3004638,42632,5449,3338,AAC(6')-I-48,AAC(6')-I-48,BAN78519.1,AB472901.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-48,,aminoglycoside antibiotic,2851,36,36,33,17,13,5,-1,1
ARO:3002545,38945,547,574,AAC(6')-Ia,AAC(6')-Ia,AAA98298.1,M18967.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ia,,aminoglycoside antibiotic,1639,42,42,39,17,13,5,-1,1
ARO:3002571,38971,5208,1526,AAC(6')-Iaa,AAC(6')-Iaa,AAL20537.1,AE006468.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaa,,aminoglycoside antibiotic,1661,43,43,40,17,13,5,-1,1
ARO:3002572,38972,264,1911,AAC(6')-Iad,AAC(6')-Iad,BAD12078.1,AB119105.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iad,,aminoglycoside antibiotic,1662,44,44,41,17,13,5,-1,1
ARO:3002573,38973,583,738,AAC(6')-Iae,AAC(6')-Iae,BAD14386.1,AB104852.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iae,,aminoglycoside antibiotic,1663,45,45,42,17,13,5,-1,1
ARO:3002574,38974,672,156,AAC(6')-Iaf,AAC(6')-Iaf,BAH66386.1,AB462903.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaf,,aminoglycoside antibiotic,1664,46,46,43,17,13,5,-1,1
ARO:3002575,38975,708,1602,AAC(6')-Iai,AAC(6')-Iai,ACI28880.1,EU886977.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iai,,aminoglycoside antibiotic,1665,47,47,44,17,13,5,-1,1
ARO:3003677,40309,3379,2191,AAC(6')-Iaj,AAC(6')-Iaj,BAM46120.1,AB709942.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaj,,aminoglycoside antibiotic,2398,48,48,45,17,13,5,-1,1
ARO:3003199,39782,4672,1909,AAC(6')-Iak,AAC(6')-Iak,BAO21229.1,AB894482.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iak,,aminoglycoside antibiotic,2174,49,49,46,17,13,5,-1,1
ARO:3003200,39784,5297,3319,AAC(6')-Ian,AAC(6')-Ian,BAQ22025.1,AP014611.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ian,,aminoglycoside antibiotic,2175,50,50,47,17,13,5,-1,1
ARO:3007204,45948,8509,5817,AAC(6')-Iap,AAC(6')-Iap,BCD41405.1,LC536747.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iap,,aminoglycoside antibiotic,5007,51,51,48,17,13,5,-1,1
ARO:3002546,38946,231,63,AAC(6')-Ib,AAC(6')-Ib,AFJ11384.1,JQ808129.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib,,aminoglycoside antibiotic,1640,52,52,49,17,13,5,-1,1
ARO:3003676,40308,4753,1235,AAC(6')-Ib',AAC(6')-Ib',AAT74613.1,AY660529.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib',,aminoglycoside antibiotic,2397,53,53,50,17,13,5,-1,1
ARO:3002581,38981,314,1370,AAC(6')-Ib10,AAC(6')-Ib10,AAC46343.1,U59183.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib10,,aminoglycoside antibiotic,1671,65,65,60,17,13,5,-1,1
ARO:3002582,38982,366,1801,AAC(6')-Ib11,AAC(6')-Ib11,AAN41403.1,AY136758.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib11,,aminoglycoside antibiotic,1672,66,66,61,17,13,5,-1,1
ARO:3002576,38976,141,1068,AAC(6')-Ib3,AAC(6')-Ib3,ACS44715.1,FJ854362.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib3,,aminoglycoside antibiotic,1666,67,67,62,17,13,5,-1,1
ARO:3002577,38977,401,1002,AAC(6')-Ib4,AAC(6')-Ib4,AAL38577.1,AF445082.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib4,,aminoglycoside antibiotic,1667,68,68,63,17,13,5,-1,1
ARO:3002578,38978,5850,2117,AAC(6')-Ib7,AAC(6')-Ib7,AKN19287.1,KR091911.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib7,,aminoglycoside antibiotic,1668,69,69,64,17,13,5,-1,1
ARO:3002579,38979,5456,2071,AAC(6')-Ib8,AAC(6')-Ib8,AIK02012.1,KF998105.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib8,,aminoglycoside antibiotic,1669,70,70,65,17,13,5,-1,1
ARO:3002580,38980,463,993,AAC(6')-Ib9,AAC(6')-Ib9,AAD02244.1,AF043381.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib9,,aminoglycoside antibiotic,1670,71,71,66,17,13,5,-1,1
ARO:3002547,38947,6152,1678,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,,aminoglycoside antibiotic,1641,57,57,52,18,26,5,-1,1
ARO:3002547,38947,6152,1678,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,,fluoroquinolone antibiotic,1641,57,57,52,18,26,5,-1,12
ARO:3007770,46553,8755,6020,aac(6')-Ib-cr10,aac(6')-Ib-cr10,WP_124042715.1,NG_067968.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr10,,aminoglycoside antibiotic,5172,5822,5820,5821,18,26,5,-1,1
ARO:3007770,46553,8755,6020,aac(6')-Ib-cr10,aac(6')-Ib-cr10,WP_124042715.1,NG_067968.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr10,,fluoroquinolone antibiotic,5172,5822,5820,5821,18,26,5,-1,12
ARO:3007771,46554,8756,6021,aac(6')-Ib-cr11,aac(6')-Ib-cr11,WP_159241551.1,NG_067969.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr11,,aminoglycoside antibiotic,5173,5823,5821,5822,18,26,5,-1,1
ARO:3007771,46554,8756,6021,aac(6')-Ib-cr11,aac(6')-Ib-cr11,WP_159241551.1,NG_067969.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr11,,fluoroquinolone antibiotic,5173,5823,5821,5822,18,26,5,-1,12
ARO:3005112,43327,8752,3840,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,WP_071766621.1,NG_052123.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,,aminoglycoside antibiotic,3133,58,58,53,18,26,5,-1,1
ARO:3005112,43327,8752,3840,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,WP_071766621.1,NG_052123.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,,fluoroquinolone antibiotic,3133,58,58,53,18,26,5,-1,12
ARO:3005114,43329,8753,3841,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,WP_065187000.1,NG_052463.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,,aminoglycoside antibiotic,3134,59,59,54,18,26,5,-1,1
ARO:3005114,43329,8753,3841,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,WP_065187000.1,NG_052463.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,,fluoroquinolone antibiotic,3134,59,59,54,18,26,5,-1,12
ARO:3005115,43331,6155,3842,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,ABX24471.1,EU161636.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,,aminoglycoside antibiotic,3135,60,60,55,18,26,5,-1,1
ARO:3005115,43331,6155,3842,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,ABX24471.1,EU161636.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,,fluoroquinolone antibiotic,3135,60,60,55,18,26,5,-1,12
ARO:3005116,43332,8754,3843,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,WP_063840320.1,NG_047292.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,,aminoglycoside antibiotic,3136,61,61,56,18,26,5,-1,1
ARO:3005116,43332,8754,3843,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,WP_063840320.1,NG_047292.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,,fluoroquinolone antibiotic,3136,61,61,56,18,26,5,-1,12
ARO:3005117,43333,6157,3844,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,NON98701.1,JABGAB010000032.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,,aminoglycoside antibiotic,3137,62,62,57,18,26,5,-1,1
ARO:3005117,43333,6157,3844,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,NON98701.1,JABGAB010000032.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,,fluoroquinolone antibiotic,3137,62,62,57,18,26,5,-1,12
ARO:3005118,43334,6158,3845,AAC(6')-Ib-cr8,AAC(6')-Ib-cr8,AZK52946.1,CP034250.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr8,,aminoglycoside antibiotic,3138,63,63,58,18,26,5,-1,1
ARO:3005118,43334,6158,3845,AAC(6')-Ib-cr8,AAC(6')-Ib-cr8,AZK52946.1,CP034250.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr8,,fluoroquinolone antibiotic,3138,63,63,58,18,26,5,-1,12
ARO:3005119,43335,6159,3846,AAC(6')-Ib-cr9,AAC(6')-Ib-cr9,AYD68572.1,MH569711.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr9,,aminoglycoside antibiotic,3139,64,64,59,18,26,5,-1,1
ARO:3005119,43335,6159,3846,AAC(6')-Ib-cr9,AAC(6')-Ib-cr9,AYD68572.1,MH569711.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr9,,fluoroquinolone antibiotic,3139,64,64,59,18,26,5,-1,12
ARO:3002592,38992,29,1000,AAC(6')-Ib-Hangzhou,AAC(6')-Ib-Hangzhou,ACL37342.1,FJ503047.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC6_IB_HZ,,aminoglycoside antibiotic,1682,54,54,91,17,13,5,-1,1
ARO:3002593,38993,360,1024,AAC(6')-Ib-SK,AAC(6')-Ib-SK,BAD11815.1,AB164230.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib-SK,,aminoglycoside antibiotic,1683,55,55,51,17,13,5,-1,1
ARO:3002591,38991,83,444,AAC(6')-Ib-Suzhou,AAC(6')-Ib-Suzhou,ABU55430.1,EU085533.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC_6_IB_Su,,aminoglycoside antibiotic,1681,56,56,94,17,13,5,-1,1
ARO:3002549,38949,306,1299,AAC(6')-Ic,AAC(6')-Ic,AAA26549.1,M94066.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ic,,aminoglycoside antibiotic,1642,72,72,67,17,13,5,-1,1
ARO:3002597,38997,5296,1814,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAA88548.1,GU565967.1,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_Ie_APH2_Ia,,aminoglycoside antibiotic,1687,73,73,92,353,13,5,-1,1
ARO:3002553,38953,358,1651,AAC(6')-If,AAC(6')-If,CAA39038.1,X55353.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-If,,aminoglycoside antibiotic,1643,74,74,68,17,13,5,-1,1
ARO:3002554,38954,396,1111,AAC(6')-Ig,AAC(6')-Ig,AAA21889.1,L09246.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ig,,aminoglycoside antibiotic,1644,75,75,69,17,13,5,-1,1
ARO:3002555,38955,456,676,AAC(6')-Ih,AAC(6')-Ih,AAC41391.1,L29044.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ih,,aminoglycoside antibiotic,1645,76,76,70,17,13,5,-1,1
ARO:3002556,38956,172,1050,AAC(6')-Ii,AAC(6')-Ii,AAB63533.1,L12710.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ii,,aminoglycoside antibiotic,1646,77,77,71,17,13,5,-1,1
ARO:3002594,38994,460,1657,AAC(6')-IIa,AAC(6')-IIa,AAM92464.1,AY123251.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIa,,aminoglycoside antibiotic,1684,39,39,36,17,13,5,-1,1
ARO:3002595,38995,497,140,AAC(6')-IIb,AAC(6')-IIb,AAA25680.1,L06163.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIb,,aminoglycoside antibiotic,1685,40,40,37,17,13,5,-1,1
ARO:3002596,38996,313,730,AAC(6')-IIc,AAC(6')-IIc,AAD46626.1,AF162771.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIc,,aminoglycoside antibiotic,1686,41,41,38,17,13,5,-1,1
ARO:3002589,38989,8166,1831,AAC(6')-Iid,AAC(6')-Iid,CAE50925.1,AJ584700.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iid,,aminoglycoside antibiotic,1679,78,78,72,17,13,5,-1,1
ARO:3002590,38990,8279,1891,AAC(6')-Iih,AAC(6')-Iih,CAE50926.1,AJ584701.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iih,,aminoglycoside antibiotic,1680,79,79,73,17,13,5,-1,1
ARO:3002557,38957,494,724,AAC(6')-Ij,AAC(6')-Ij,AAC41392.1,L29045.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ij,,aminoglycoside antibiotic,1647,80,80,74,17,13,5,-1,1
ARO:3002558,38958,541,1977,AAC(6')-Ik,AAC(6')-Ik,AAA87229.1,L29510.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ik,,aminoglycoside antibiotic,1648,81,81,75,17,13,5,-1,1
