ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,ARO Category,drug_class_list
ARO:3005061,43265,6130,3801,AAC(3)-IVb,AAC(3)-IVb,QEQ43476.1,MN366378.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVb,,aminoglycoside antibiotic
ARO:3002543,38943,655,2030,AAC(3)-IXa,AAC(3)-IXa,AAA25334.1,M55427.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IXa,,aminoglycoside antibiotic
ARO:3002540,38940,659,1105,AAC(3)-VIa,AAC(3)-VIa,AAA16194.1,M88012.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIa,,aminoglycoside antibiotic
ARO:3002541,38941,694,653,AAC(3)-VIIa,AAC(3)-VIIa,AAA88552.1,M22999.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIa,,aminoglycoside antibiotic
ARO:3002542,38942,12,501,AAC(3)-VIIIa,AAC(3)-VIIIa,AAA26685.1,M55426.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIIa,,aminoglycoside antibiotic
ARO:3002544,38944,4702,1483,AAC(3)-Xa,AAC(3)-Xa,BAA78619.1,AB028210.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Xa,,aminoglycoside antibiotic
ARO:3002583,38983,5868,300,AAC(6')-29a,AAC(6')-29a,WP_064190968.1,NG_048575.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29a,,aminoglycoside antibiotic
ARO:3002584,38984,5898,659,AAC(6')-29b,AAC(6')-29b,WP_064190969.1,NG_048576.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29b,,aminoglycoside antibiotic
ARO:3002599,38999,8193,922,AAC(6')-30/AAC(6')-Ib' bifunctional protein,AAC(6')-30/AAC(6')-Ib' bifunctional protein,CAE48335.2,AJ584652.2,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_30_AAC6_Ib,,aminoglycoside antibiotic
ARO:3002585,38985,267,1093,AAC(6')-31,AAC(6')-31,CAK55557.1,AM283489.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-31,,aminoglycoside antibiotic
ARO:3002586,38986,310,1577,AAC(6')-32,AAC(6')-32,ABR10839.1,EF614235.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-32,,aminoglycoside antibiotic
ARO:3003989,40871,3861,2525,AAC(6')-34,AAC(6')-34,APB03223.1,KX531053.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-34,,aminoglycoside antibiotic
ARO:3002588,38988,399,1365,AAC(6')-I30,AAC(6')-I30,AAP43642.1,AY289608.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I30,,aminoglycoside antibiotic
ARO:3002587,38987,362,924,AAC(6')-I33,AAC(6')-I33,AEZ05106.1,JN596280.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I33,,aminoglycoside antibiotic
ARO:3004641,42650,5464,3340,AAC(6')-I-43,AAC(6')-I-43,AEA07977.1,HQ247816.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-43,,aminoglycoside antibiotic
ARO:3004638,42632,5449,3338,AAC(6')-I-48,AAC(6')-I-48,BAN78519.1,AB472901.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-48,,aminoglycoside antibiotic
ARO:3002545,38945,547,574,AAC(6')-Ia,AAC(6')-Ia,AAA98298.1,M18967.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ia,,aminoglycoside antibiotic
ARO:3002571,38971,5208,1526,AAC(6')-Iaa,AAC(6')-Iaa,AAL20537.1,AE006468.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaa,,aminoglycoside antibiotic
ARO:3002572,38972,264,1911,AAC(6')-Iad,AAC(6')-Iad,BAD12078.1,AB119105.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iad,,aminoglycoside antibiotic
ARO:3002573,38973,583,738,AAC(6')-Iae,AAC(6')-Iae,BAD14386.1,AB104852.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iae,,aminoglycoside antibiotic
ARO:3002574,38974,672,156,AAC(6')-Iaf,AAC(6')-Iaf,BAH66386.1,AB462903.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaf,,aminoglycoside antibiotic
ARO:3002575,38975,708,1602,AAC(6')-Iai,AAC(6')-Iai,ACI28880.1,EU886977.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iai,,aminoglycoside antibiotic
ARO:3003677,40309,3379,2191,AAC(6')-Iaj,AAC(6')-Iaj,BAM46120.1,AB709942.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaj,,aminoglycoside antibiotic
ARO:3003199,39782,4672,1909,AAC(6')-Iak,AAC(6')-Iak,BAO21229.1,AB894482.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iak,,aminoglycoside antibiotic
ARO:3003200,39784,5297,3319,AAC(6')-Ian,AAC(6')-Ian,BAQ22025.1,AP014611.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ian,,aminoglycoside antibiotic
ARO:3007204,45948,8509,5817,AAC(6')-Iap,AAC(6')-Iap,BCD41405.1,LC536747.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iap,,aminoglycoside antibiotic
ARO:3002546,38946,231,63,AAC(6')-Ib,AAC(6')-Ib,AFJ11384.1,JQ808129.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib,,aminoglycoside antibiotic
ARO:3003676,40308,4753,1235,AAC(6')-Ib',AAC(6')-Ib',AAT74613.1,AY660529.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib',,aminoglycoside antibiotic
ARO:3002581,38981,314,1370,AAC(6')-Ib10,AAC(6')-Ib10,AAC46343.1,U59183.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib10,,aminoglycoside antibiotic
ARO:3002582,38982,366,1801,AAC(6')-Ib11,AAC(6')-Ib11,AAN41403.1,AY136758.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib11,,aminoglycoside antibiotic
ARO:3002576,38976,141,1068,AAC(6')-Ib3,AAC(6')-Ib3,ACS44715.1,FJ854362.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib3,,aminoglycoside antibiotic
ARO:3002577,38977,401,1002,AAC(6')-Ib4,AAC(6')-Ib4,AAL38577.1,AF445082.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib4,,aminoglycoside antibiotic
ARO:3002578,38978,5850,2117,AAC(6')-Ib7,AAC(6')-Ib7,AKN19287.1,KR091911.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib7,,aminoglycoside antibiotic
ARO:3002579,38979,5456,2071,AAC(6')-Ib8,AAC(6')-Ib8,AIK02012.1,KF998105.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib8,,aminoglycoside antibiotic
ARO:3002580,38980,463,993,AAC(6')-Ib9,AAC(6')-Ib9,AAD02244.1,AF043381.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib9,,aminoglycoside antibiotic
ARO:3002547,38947,6152,1678,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,,aminoglycoside antibiotic
ARO:3002547,38947,6152,1678,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,,fluoroquinolone antibiotic
ARO:3007770,46553,8755,6020,aac(6')-Ib-cr10,aac(6')-Ib-cr10,WP_124042715.1,NG_067968.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr10,,aminoglycoside antibiotic
ARO:3007770,46553,8755,6020,aac(6')-Ib-cr10,aac(6')-Ib-cr10,WP_124042715.1,NG_067968.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr10,,fluoroquinolone antibiotic
ARO:3007771,46554,8756,6021,aac(6')-Ib-cr11,aac(6')-Ib-cr11,WP_159241551.1,NG_067969.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr11,,aminoglycoside antibiotic
ARO:3007771,46554,8756,6021,aac(6')-Ib-cr11,aac(6')-Ib-cr11,WP_159241551.1,NG_067969.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr11,,fluoroquinolone antibiotic
ARO:3005112,43327,8752,3840,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,WP_071766621.1,NG_052123.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,,aminoglycoside antibiotic
ARO:3005112,43327,8752,3840,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,WP_071766621.1,NG_052123.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,,fluoroquinolone antibiotic
ARO:3005114,43329,8753,3841,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,WP_065187000.1,NG_052463.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,,aminoglycoside antibiotic
ARO:3005114,43329,8753,3841,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,WP_065187000.1,NG_052463.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,,fluoroquinolone antibiotic
ARO:3005115,43331,6155,3842,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,ABX24471.1,EU161636.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,,aminoglycoside antibiotic
ARO:3005115,43331,6155,3842,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,ABX24471.1,EU161636.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,,fluoroquinolone antibiotic
ARO:3005116,43332,8754,3843,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,WP_063840320.1,NG_047292.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,,aminoglycoside antibiotic
ARO:3005116,43332,8754,3843,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,WP_063840320.1,NG_047292.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,,fluoroquinolone antibiotic
ARO:3005117,43333,6157,3844,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,NON98701.1,JABGAB010000032.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,,aminoglycoside antibiotic
ARO:3005117,43333,6157,3844,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,NON98701.1,JABGAB010000032.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,,fluoroquinolone antibiotic
ARO:3005118,43334,6158,3845,AAC(6')-Ib-cr8,AAC(6')-Ib-cr8,AZK52946.1,CP034250.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr8,,aminoglycoside antibiotic
ARO:3005118,43334,6158,3845,AAC(6')-Ib-cr8,AAC(6')-Ib-cr8,AZK52946.1,CP034250.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr8,,fluoroquinolone antibiotic
ARO:3005119,43335,6159,3846,AAC(6')-Ib-cr9,AAC(6')-Ib-cr9,AYD68572.1,MH569711.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr9,,aminoglycoside antibiotic
ARO:3005119,43335,6159,3846,AAC(6')-Ib-cr9,AAC(6')-Ib-cr9,AYD68572.1,MH569711.1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr9,,fluoroquinolone antibiotic
ARO:3002592,38992,29,1000,AAC(6')-Ib-Hangzhou,AAC(6')-Ib-Hangzhou,ACL37342.1,FJ503047.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC6_IB_HZ,,aminoglycoside antibiotic
ARO:3002593,38993,360,1024,AAC(6')-Ib-SK,AAC(6')-Ib-SK,BAD11815.1,AB164230.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib-SK,,aminoglycoside antibiotic
ARO:3002591,38991,83,444,AAC(6')-Ib-Suzhou,AAC(6')-Ib-Suzhou,ABU55430.1,EU085533.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC_6_IB_Su,,aminoglycoside antibiotic
ARO:3002549,38949,306,1299,AAC(6')-Ic,AAC(6')-Ic,AAA26549.1,M94066.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ic,,aminoglycoside antibiotic
ARO:3002597,38997,5296,1814,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAA88548.1,GU565967.1,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_Ie_APH2_Ia,,aminoglycoside antibiotic
ARO:3002553,38953,358,1651,AAC(6')-If,AAC(6')-If,CAA39038.1,X55353.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-If,,aminoglycoside antibiotic
ARO:3002554,38954,396,1111,AAC(6')-Ig,AAC(6')-Ig,AAA21889.1,L09246.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ig,,aminoglycoside antibiotic
ARO:3002555,38955,456,676,AAC(6')-Ih,AAC(6')-Ih,AAC41391.1,L29044.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ih,,aminoglycoside antibiotic
ARO:3002556,38956,172,1050,AAC(6')-Ii,AAC(6')-Ii,AAB63533.1,L12710.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ii,,aminoglycoside antibiotic
ARO:3002594,38994,460,1657,AAC(6')-IIa,AAC(6')-IIa,AAM92464.1,AY123251.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIa,,aminoglycoside antibiotic
ARO:3002595,38995,497,140,AAC(6')-IIb,AAC(6')-IIb,AAA25680.1,L06163.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIb,,aminoglycoside antibiotic
ARO:3002596,38996,313,730,AAC(6')-IIc,AAC(6')-IIc,AAD46626.1,AF162771.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIc,,aminoglycoside antibiotic
ARO:3002589,38989,8166,1831,AAC(6')-Iid,AAC(6')-Iid,CAE50925.1,AJ584700.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iid,,aminoglycoside antibiotic
ARO:3002590,38990,8279,1891,AAC(6')-Iih,AAC(6')-Iih,CAE50926.1,AJ584701.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iih,,aminoglycoside antibiotic
ARO:3002557,38957,494,724,AAC(6')-Ij,AAC(6')-Ij,AAC41392.1,L29045.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ij,,aminoglycoside antibiotic
ARO:3002558,38958,541,1977,AAC(6')-Ik,AAC(6')-Ik,AAA87229.1,L29510.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ik,,aminoglycoside antibiotic
ARO:3004635,42624,8368,3334,AAC(6')-Il,AAC(6')-Il,AAA90937.1,U13880.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Il,,aminoglycoside antibiotic
ARO:3004629,42615,5375,3328,AAC(6')-Im,AAC(6')-Im,AAK63041.1,AF337947.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Im,,aminoglycoside antibiotic
ARO:3002559,38959,5237,1653,AAC(6')-Ip,AAC(6')-Ip,CAA91010.1,Z54241.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ip,,aminoglycoside antibiotic
ARO:3002560,38960,343,1327,AAC(6')-Iq,AAC(6')-Iq,AAC25500.1,AF047556.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iq,,aminoglycoside antibiotic
ARO:3002561,38961,581,1821,AAC(6')-Ir,AAC(6')-Ir,AAD03490.1,AF031326.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ir,,aminoglycoside antibiotic
ARO:3002562,38962,669,544,AAC(6')-Is,AAC(6')-Is,AAD03491.1,AF031327.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Is,,aminoglycoside antibiotic
ARO:3002563,38963,705,967,AAC(6')-Isa,AAC(6')-Isa,BAD10948.2,AB116646.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Isa,,aminoglycoside antibiotic
ARO:3002564,38964,736,1674,AAC(6')-It,AAC(6')-It,AAD03492.1,AF031328.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-It,,aminoglycoside antibiotic
ARO:3002565,38965,27,110,AAC(6')-Iu,AAC(6')-Iu,AAD03493.1,AF031329.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iu,,aminoglycoside antibiotic
ARO:3002566,38966,81,784,AAC(6')-Iv,AAC(6')-Iv,AAD03494.1,AF031330.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iv,,aminoglycoside antibiotic
ARO:3002567,38967,139,1271,AAC(6')-Iw,AAC(6')-Iw,AAD03495.1,AF031331.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iw,,aminoglycoside antibiotic
ARO:3002568,38968,170,1939,AAC(6')-Ix,AAC(6')-Ix,AAD03496.1,AF031332.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ix,,aminoglycoside antibiotic
ARO:3002569,38969,397,360,AAC(6')-Iy,AAC(6')-Iy,AAF03531.1,AF144880.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iy,,aminoglycoside antibiotic
ARO:3002570,38970,205,1995,AAC(6')-Iz,AAC(6')-Iz,AAD52985.1,AF140221.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iz,,aminoglycoside antibiotic
ARO:3002628,39028,6244,1562,aad(6),aad(6),AAU10334.1,AY712687.1,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aad(6),,aminoglycoside antibiotic
ARO:3002601,39001,5220,650,aadA,aadA,AAO49597.1,AF550679.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA,,aminoglycoside antibiotic
ARO:3004692,42744,5586,3398,aadA10,aadA10,AAL36430.1,U37105.2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA10,,aminoglycoside antibiotic
ARO:3002611,39011,13,1772,aadA11,aadA11,AAV32840.1,AY758206.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA11,,aminoglycoside antibiotic
ARO:3002612,39012,57,149,aadA12,aadA12,ACJ47200.1,FJ381668.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA12,,aminoglycoside antibiotic
ARO:3002613,39013,5258,2087,aadA13,aadA13,ABW91178.1,EU746499.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA13,,aminoglycoside antibiotic
ARO:3002614,39014,4676,1839,aadA14,aadA14,CAI57696.1,AJ884726.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA14,,aminoglycoside antibiotic
ARO:3002615,39015,116,1162,aadA15,aadA15,ABD58917.1,DQ393783.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA15,,aminoglycoside antibiotic
ARO:3002616,39016,8226,1762,aadA16,aadA16,ACF17980.1,EU675686.2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA16,,aminoglycoside antibiotic
ARO:3002617,39017,8152,502,aadA17,aadA17,ACK43806.1,FJ460181.2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA17,,aminoglycoside antibiotic
ARO:3002602,39002,3404,1227,aadA2,aadA2,AAF27727.1,AF156486.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA2,,aminoglycoside antibiotic
ARO:3002618,39018,195,584,aadA21,aadA21,AAN87151.1,AY171244.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA21,,aminoglycoside antibiotic
ARO:3002619,39019,238,1392,aadA22,aadA22,CAK12750.1,AM261837.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA22,,aminoglycoside antibiotic
